Image,Clothing Types,Primary Color,Secondary Color
cropped_image1.png,"Pants, person",dark muted blue-purple,dark muted blue-purple
cropped_image2.png,"Outwear, person",dark cyan,dark cyan
cropped_image3.png,Dress,dark muted blue-purple,dark muted blue-purple
cropped_image4.png,Person,dark muted blue-purple,dark muted blue-purple
cropped_image5.png,Long sleeve,dark gray,None
cropped_image6.png,Long sleeve,dark gray,None
cropped_image7.png,"Person, t-shirt",red-orange,red-orange
cropped_image8.png,Person,red,red
cropped_image9.png,"Long sleeve, person",dark muted red-orange,dark muted red-orange
cropped_image10.png,"Pants, person, tie",muted red-orange,muted red-orange
cropped_image11.png,"Pants, person, tie",dark muted blue-purple,dark muted blue-purple
cropped_image12.png,"Pants, person, tie",dark gray,dark gray
